arxiv_id,title,authors,abstract,published,pdf_url,categories
2502.05244v1,Probabilistic Artificial Intelligence,"['Andreas Krause', 'Jonas Hübotter']","Artificial intelligence commonly refers to the science and engineering of
artificial systems that can carry out tasks generally associated with requiring
aspects of human intelligence, such as playing games, translating languages,
and driving cars. In recent years, there have been exciting advances in
learning-based, data-driven approaches towards AI, and machine learning and
deep learning have enabled computer systems to perceive the world in
unprecedented ways. Reinforcement learning has enabled breakthroughs in complex
games such as Go and challenging robotics tasks such as quadrupedal locomotion.
  A key aspect of intelligence is to not only make predictions, but reason
about the uncertainty in these predictions, and to consider this uncertainty
when making decisions. This is what this manuscript on ""Probabilistic
Artificial Intelligence"" is about. The first part covers probabilistic
approaches to machine learning. We discuss the differentiation between
""epistemic"" uncertainty due to lack of data and ""aleatoric"" uncertainty, which
is irreducible and stems, e.g., from noisy observations and outcomes. We
discuss concrete approaches towards probabilistic inference and modern
approaches to efficient approximate inference.
  The second part of the manuscript is about taking uncertainty into account in
sequential decision tasks. We consider active learning and Bayesian
optimization -- approaches that collect data by proposing experiments that are
informative for reducing the epistemic uncertainty. We then consider
reinforcement learning and modern deep RL approaches that use neural network
function approximation. We close by discussing modern approaches in model-based
RL, which harness epistemic and aleatoric uncertainty to guide exploration,
while also reasoning about safety.",2025-02-07T14:29:07Z,http://arxiv.org/pdf/2502.05244v1,"['cs.AI', 'cs.LG']"
1712.03779v1,Artificial Intelligence and Statistics,"['Bin Yu', 'Karl Kumbier']","Artificial intelligence (AI) is intrinsically data-driven. It calls for the
application of statistical concepts through human-machine collaboration during
generation of data, development of algorithms, and evaluation of results. This
paper discusses how such human-machine collaboration can be approached through
the statistical concepts of population, question of interest,
representativeness of training data, and scrutiny of results (PQRS). The PQRS
workflow provides a conceptual framework for integrating statistical ideas with
human input into AI products and research. These ideas include experimental
design principles of randomization and local control as well as the principle
of stability to gain reproducibility and interpretability of algorithms and
data results. We discuss the use of these principles in the contexts of
self-driving cars, automated medical diagnoses, and examples from the authors'
collaborative research.",2017-12-08T02:18:43Z,http://arxiv.org/pdf/1712.03779v1,"['stat.ML', 'cs.AI']"
1908.02150v3,Industrial Artificial Intelligence,"['Jay Lee', 'Jaskaran Singh', 'Moslem Azamfar']","Artificial Intelligence (AI) is a cognitive science to enables human to
explore many intelligent ways to model our sensing and reasoning processes.
Industrial AI is a systematic discipline to enable engineers to systematically
develop and deploy AI algorithms with repeating and consistent successes. In
this paper, the key enablers for this transformative technology along with
their significant advantages are discussed. In addition, this research explains
Lighthouse Factories as an emerging status applying to the top manufacturers
that have implemented Industrial AI in their manufacturing ecosystem and gained
significant financial benefits. It is believed that this research will work as
a guideline and roadmap for researchers and industries towards the real-world
implementation of Industrial AI.",2019-08-04T05:19:43Z,http://arxiv.org/pdf/1908.02150v3,['cs.CY']
2006.12362v1,Artificial intelligence in space,"['George Anthony Gal', 'Cristiana Santos', 'Lucien Rapp', 'Réeka Markovich', 'Leendert van der Torre']","In the next coming years, space activities are expected to undergo a radical
transformation with the emergence of new satellite systems or new services
which will incorporate the contributions of artificial intelligence and machine
learning defined as covering a wide range of innovations from autonomous
objects with their own decision-making power to increasingly sophisticated
services exploiting very large volumes of information from space. This chapter
identifies some of the legal and ethical challenges linked to its use. These
legal and ethical challenges call for solutions which the international
treaties in force are not sufficient to determine and implement. For this
reason, a legal methodology must be developed that makes it possible to link
intelligent systems and services to a system of rules applicable thereto. It
discusses existing legal AI-based tools amenable for making space law
actionable, interoperable and machine readable for future compliance tools.",2020-06-22T16:00:44Z,http://arxiv.org/pdf/2006.12362v1,"['cs.CY', 'cs.AI']"
2101.06573v1,Understanding in Artificial Intelligence,"['Stefan Maetschke', 'David Martinez Iraola', 'Pieter Barnard', 'Elaheh ShafieiBavani', 'Peter Zhong', 'Ying Xu', 'Antonio Jimeno Yepes']","Current Artificial Intelligence (AI) methods, most based on deep learning,
have facilitated progress in several fields, including computer vision and
natural language understanding. The progress of these AI methods is measured
using benchmarks designed to solve challenging tasks, such as visual question
answering. A question remains of how much understanding is leveraged by these
methods and how appropriate are the current benchmarks to measure understanding
capabilities. To answer these questions, we have analysed existing benchmarks
and their understanding capabilities, defined by a set of understanding
capabilities, and current research streams. We show how progress has been made
in benchmark development to measure understanding capabilities of AI methods
and we review as well how current methods develop understanding capabilities.",2021-01-17T02:29:50Z,http://arxiv.org/pdf/2101.06573v1,['cs.AI']
2301.10823v3,Reflective Artificial Intelligence,"['Peter R. Lewis', 'Stefan Sarkadi']","Artificial Intelligence (AI) is about making computers that do the sorts of
things that minds can do, and as we progress towards this goal, we tend to
increasingly delegate human tasks to machines. However, AI systems usually do
these tasks with an unusual imbalance of insight and understanding: new, deeper
insights are present, yet many important qualities that a human mind would have
previously brought to the activity are utterly absent. Therefore, it is crucial
to ask which features of minds have we replicated, which are missing, and if
that matters. One core feature that humans bring to tasks, when dealing with
the ambiguity, emergent knowledge, and social context presented by the world,
is reflection. Yet this capability is utterly missing from current mainstream
AI. In this paper we ask what reflective AI might look like. Then, drawing on
notions of reflection in complex systems, cognitive science, and agents, we
sketch an architecture for reflective AI agents, and highlight ways forward.",2023-01-25T20:50:26Z,http://arxiv.org/pdf/2301.10823v3,['cs.AI']
2308.02435v1,Designing Fiduciary Artificial Intelligence,"['Sebastian Benthall', 'David Shekman']","A fiduciary is a trusted agent that has the legal duty to act with loyalty
and care towards a principal that employs them. When fiduciary organizations
interact with users through a digital interface, or otherwise automate their
operations with artificial intelligence, they will need to design these AI
systems to be compliant with their duties. This article synthesizes recent work
in computer science and law to develop a procedure for designing and auditing
Fiduciary AI. The designer of a Fiduciary AI should understand the context of
the system, identify its principals, and assess the best interests of those
principals. Then the designer must be loyal with respect to those interests,
and careful in an contextually appropriate way. We connect the steps in this
procedure to dimensions of Trustworthy AI, such as privacy and alignment.
Fiduciary AI is a promising means to address the incompleteness of data
subject's consent when interacting with complex technical systems.",2023-07-27T15:35:32Z,http://arxiv.org/pdf/2308.02435v1,"['cs.CY', 'cs.AI']"
2504.15125v3,Contemplative Artificial Intelligence,"['Ruben Laukkonen', 'Fionn Inglis', 'Shamil Chandaria', 'Lars Sandved-Smith', 'Edmundo Lopez-Sola', 'Jakob Hohwy', 'Jonathan Gold', 'Adam Elwood']","As artificial intelligence (AI) improves, traditional alignment strategies
may falter in the face of unpredictable self-improvement, hidden subgoals, and
the sheer complexity of intelligent systems. Inspired by contemplative wisdom
traditions, we show how four axiomatic principles can instil a resilient Wise
World Model in AI systems. First, mindfulness enables self-monitoring and
recalibration of emergent subgoals. Second, emptiness forestalls dogmatic goal
fixation and relaxes rigid priors. Third, non-duality dissolves adversarial
self-other boundaries. Fourth, boundless care motivates the universal reduction
of suffering. We find that prompting AI to reflect on these principles improves
performance on the AILuminate Benchmark (d=.96) and boosts cooperation and
joint-reward on the Prisoner's Dilemma task (d=7+). We offer detailed
implementation strategies at the level of architectures, constitutions, and
reinforcement on chain-of-thought. For future systems, active inference may
offer the self-organizing and dynamic coupling capabilities needed to enact
Contemplative AI in embodied agents.",2025-04-21T14:20:49Z,http://arxiv.org/pdf/2504.15125v3,['cs.AI']
1701.03868v1,Minimally Naturalistic Artificial Intelligence,['Steven Stenberg Hansen'],"The rapid advancement of machine learning techniques has re-energized
research into general artificial intelligence. While the idea of
domain-agnostic meta-learning is appealing, this emerging field must come to
terms with its relationship to human cognition and the statistics and structure
of the tasks humans perform. The position of this article is that only by
aligning our agents' abilities and environments with those of humans do we
stand a chance at developing general artificial intelligence (GAI). A broad
reading of the famous 'No Free Lunch' theorem is that there is no universally
optimal inductive bias or, equivalently, bias-free learning is impossible. This
follows from the fact that there are an infinite number of ways to extrapolate
data, any of which might be the one used by the data generating environment; an
inductive bias prefers some of these extrapolations to others, which lowers
performance in environments using these adversarial extrapolations. We may
posit that the optimal GAI is the one that maximally exploits the statistics of
its environment to create its inductive bias; accepting the fact that this
agent is guaranteed to be extremely sub-optimal for some alternative
environments. This trade-off appears benign when thinking about the environment
as being the physical universe, as performance on any fictive universe is
obviously irrelevant. But, we should expect a sharper inductive bias if we
further constrain our environment. Indeed, we implicitly do so by defining GAI
in terms of accomplishing that humans consider useful. One common version of
this is need the for 'common-sense reasoning', which implicitly appeals to the
statistics of physical universe as perceived by humans.",2017-01-14T01:57:31Z,http://arxiv.org/pdf/1701.03868v1,['cs.AI']
2202.07446v1,Relational Artificial Intelligence,['Virginia Dignum'],"The impact of Artificial Intelligence does not depend only on fundamental
research and technological developments, but for a large part on how these
systems are introduced into society and used in everyday situations. Even
though AI is traditionally associated with rational decision making,
understanding and shaping the societal impact of AI in all its facets requires
a relational perspective. A rational approach to AI, where computational
algorithms drive decision making independent of human intervention, insights
and emotions, has shown to result in bias and exclusion, laying bare societal
vulnerabilities and insecurities. A relational approach, that focus on the
relational nature of things, is needed to deal with the ethical, legal,
societal, cultural, and environmental implications of AI. A relational approach
to AI recognises that objective and rational reasoning cannot does not always
result in the 'right' way to proceed because what is 'right' depends on the
dynamics of the situation in which the decision is taken, and that rather than
solving ethical problems the focus of design and use of AI must be on asking
the ethical question. In this position paper, I start with a general discussion
of current conceptualisations of AI followed by an overview of existing
approaches to governance and responsible development and use of AI. Then, I
reflect over what should be the bases of a social paradigm for AI and how this
should be embedded in relational, feminist and non-Western philosophies, in
particular the Ubuntu philosophy.",2022-02-04T15:29:57Z,http://arxiv.org/pdf/2202.07446v1,"['cs.CY', 'cs.AI']"
1411.1373v9,Ethical Artificial Intelligence,['Bill Hibbard'],"This book-length article combines several peer reviewed papers and new
material to analyze the issues of ethical artificial intelligence (AI). The
behavior of future AI systems can be described by mathematical equations, which
are adapted to analyze possible unintended AI behaviors and ways that AI
designs can avoid them. This article makes the case for utility-maximizing
agents and for avoiding infinite sets in agent definitions. It shows how to
avoid agent self-delusion using model-based utility functions and how to avoid
agents that corrupt their reward generators (sometimes called ""perverse
instantiation"") using utility functions that evaluate outcomes at one point in
time from the perspective of humans at a different point in time. It argues
that agents can avoid unintended instrumental actions (sometimes called ""basic
AI drives"" or ""instrumental goals"") by accurately learning human values. This
article defines a self-modeling agent framework and shows how it can avoid
problems of resource limits, being predicted by other agents, and inconsistency
between the agent's utility function and its definition (one version of this
problem is sometimes called ""motivated value selection""). This article also
discusses how future AI will differ from current AI, the politics of AI, and
the ultimate use of AI to help understand the nature of the universe and our
place in it.",2014-11-05T19:40:02Z,http://arxiv.org/pdf/1411.1373v9,['cs.AI']
2203.03715v1,Needs and Artificial Intelligence,"['Soheil Human', 'Ryan Watkins']","Throughout their history, homo sapiens have used technologies to better
satisfy their needs. The relation between needs and technology is so
fundamental that the US National Research Council defined the distinguishing
characteristic of technology as its goal ""to make modifications in the world to
meet human needs"". Artificial intelligence (AI) is one of the most promising
emerging technologies of our time. Similar to other technologies, AI is
expected ""to meet [human] needs"". In this article, we reflect on the
relationship between needs and AI, and call for the realisation of needs-aware
AI systems. We argue that re-thinking needs for, through, and by AI can be a
very useful means towards the development of realistic approaches for
Sustainable, Human-centric, Accountable, Lawful, and Ethical (HALE) AI systems.
We discuss some of the most critical gaps, barriers, enablers, and drivers of
co-creating future AI-based socio-technical systems in which [human] needs are
well considered and met. Finally, we provide an overview of potential threats
and HALE considerations that should be carefully taken into account, and call
for joint, immediate, and interdisciplinary efforts and collaborations.",2022-02-18T15:16:22Z,http://arxiv.org/pdf/2203.03715v1,"['cs.CY', 'cs.AI']"
2309.06029v1,Artificially Intelligent Opinion Polling,"['Roberto Cerina', 'Raymond Duch']","We seek to democratise public-opinion research by providing practitioners
with a general methodology to make representative inference from cheap,
high-frequency, highly unrepresentative samples. We focus specifically on
samples which are readily available in moderate sizes. To this end, we provide
two major contributions: 1) we introduce a general sample-selection process
which we name online selection, and show it is a special-case of selection on
the dependent variable. We improve MrP for severely biased samples by
introducing a bias-correction term in the style of King and Zeng to the
logistic-regression framework. We show this bias-corrected model outperforms
traditional MrP under online selection, and achieves performance similar to
random-sampling in a vast array of scenarios; 2) we present a protocol to use
Large Language Models (LLMs) to extract structured, survey-like data from
social-media. We provide a prompt-style that can be easily adapted to a variety
of survey designs. We show that LLMs agree with human raters with respect to
the demographic, socio-economic and political characteristics of these online
users. The end-to-end implementation takes unrepresentative, unsrtuctured
social media data as inputs, and produces timely high-quality area-level
estimates as outputs. This is Artificially Intelligent Opinion Polling. We show
that our AI polling estimates of the 2020 election are highly accurate, on-par
with estimates produced by state-level polling aggregators such as
FiveThirtyEight, or from MrP models fit to extremely expensive high-quality
samples.",2023-09-12T08:03:02Z,http://arxiv.org/pdf/2309.06029v1,['stat.ME']
2508.16658v1,Ethics of Artificial Intelligence,['Vincent C. Müller'],"Artificial intelligence (AI) is a digital technology that will be of major
importance for the development of humanity in the near future. AI has raised
fundamental questions about what we should do with such systems, what the
systems themselves should do, what risks they involve and how we can control
these. - After the background to the field (1), this article introduces the
main debates (2), first on ethical issues that arise with AI systems as
objects, i.e. tools made and used by humans; here, the main sections are
privacy (2.1), manipulation (2.2), opacity (2.3), bias (2.4), autonomy &
responsibility (2.6) and the singularity (2.7). Then we look at AI systems as
subjects, i.e. when ethics is for the AI systems themselves in machine ethics
(2.8.) and artificial moral agency (2.9). Finally we look at future
developments and the concept of AI (3). For each section within these themes,
we provide a general explanation of the ethical issues, we outline existing
positions and arguments, then we analyse how this plays out with current
technologies and finally what policy consequences may be drawn.",2025-08-20T10:22:19Z,http://arxiv.org/pdf/2508.16658v1,['cs.CY']
1811.06526v3,Artificial Intelligence for Interstellar Travel,"['Andreas M. Hein', 'Stephen Baxter']","The large distances involved in interstellar travel require a high degree of
spacecraft autonomy, realized by artificial intelligence. The breadth of tasks
artificial intelligence could perform on such spacecraft involves maintenance,
data collection, designing and constructing an infrastructure using in-situ
resources. Despite its importance, existing publications on artificial
intelligence and interstellar travel are limited to cursory descriptions where
little detail is given about the nature of the artificial intelligence. This
article explores the role of artificial intelligence for interstellar travel by
compiling use cases, exploring capabilities, and proposing typologies, system
and mission architectures. Estimations for the required intelligence level for
specific types of interstellar probes are given, along with potential system
and mission architectures, covering those proposed in the literature but also
presenting novel ones. Finally, a generic design for interstellar probes with
an AI payload is proposed. Given current levels of increase in computational
power, a spacecraft with a similar computational power as the human brain would
have a mass from dozens to hundreds of tons in a 2050-2060 timeframe. Given
that the advent of the first interstellar missions and artificial general
intelligence are estimated to be by the mid-21st century, a more in-depth
exploration of the relationship between the two should be attempted, focusing
on neglected areas such as protecting the artificial intelligence payload from
radiation in interstellar space and the role of artificial intelligence in
self-replication.",2018-11-15T18:49:16Z,http://arxiv.org/pdf/1811.06526v3,"['physics.pop-ph', 'physics.space-ph']"
1610.07862v2,Intelligence in Artificial Intelligence,['Shoumen Palit Austin Datta'],"The elusive quest for intelligence in artificial intelligence prompts us to
consider that instituting human-level intelligence in systems may be (still) in
the realm of utopia. In about a quarter century, we have witnessed the winter
of AI (1990) being transformed and transported to the zenith of tabloid fodder
about AI (2015). The discussion at hand is about the elements that constitute
the canonical idea of intelligence. The delivery of intelligence as a
pay-per-use-service, popping out of an app or from a shrink-wrapped software
defined point solution, is in contrast to the bio-inspired view of intelligence
as an outcome, perhaps formed from a tapestry of events, cross-pollinated by
instances, each with its own microcosm of experiences and learning, which may
not be discrete all-or-none functions but continuous, over space and time. The
enterprise world may not require, aspire or desire such an engaged solution to
improve its services for enabling digital transformation through the deployment
of digital twins, for example. One might ask whether the ""work-flow on
steroids"" version of decision support may suffice for intelligence? Are we
harking back to the era of rule based expert systems? The image conjured by the
publicity machines offers deep solutions with human-level AI and preposterous
claims about capturing the ""brain in a box"" by 2020. Even emulating insects may
be difficult in terms of real progress. Perhaps we can try to focus on worms
(Caenorhabditis elegans) which may be better suited for what business needs to
quench its thirst for so-called intelligence in AI.",2016-10-24T02:15:46Z,http://arxiv.org/pdf/1610.07862v2,['cs.AI']
2012.06034v1,Artificial Intelligence & Cooperation,"['Elisa Bertino', 'Finale Doshi-Velez', 'Maria Gini', 'Daniel Lopresti', 'David Parkes']","The rise of Artificial Intelligence (AI) will bring with it an
ever-increasing willingness to cede decision-making to machines. But rather
than just giving machines the power to make decisions that affect us, we need
ways to work cooperatively with AI systems. There is a vital need for research
in ""AI and Cooperation"" that seeks to understand the ways in which systems of
AIs and systems of AIs with people can engender cooperative behavior. Trust in
AI is also key: trust that is intrinsic and trust that can only be earned over
time. Here we use the term ""AI"" in its broadest sense, as employed by the
recent 20-Year Community Roadmap for AI Research (Gil and Selman, 2019),
including but certainly not limited to, recent advances in deep learning.
  With success, cooperation between humans and AIs can build society just as
human-human cooperation has. Whether coming from an intrinsic willingness to be
helpful, or driven through self-interest, human societies have grown strong and
the human species has found success through cooperation. We cooperate ""in the
small"" -- as family units, with neighbors, with co-workers, with strangers --
and ""in the large"" as a global community that seeks cooperative outcomes around
questions of commerce, climate change, and disarmament. Cooperation has evolved
in nature also, in cells and among animals. While many cases involving
cooperation between humans and AIs will be asymmetric, with the human
ultimately in control, AI systems are growing so complex that, even today, it
is impossible for the human to fully comprehend their reasoning,
recommendations, and actions when functioning simply as passive observers.",2020-12-10T23:54:31Z,http://arxiv.org/pdf/2012.06034v1,"['cs.CY', 'cs.AI']"
2212.03412v1,Artificial Intelligence Security Competition (AISC),"['Yinpeng Dong', 'Peng Chen', 'Senyou Deng', 'Lianji L', 'Yi Sun', 'Hanyu Zhao', 'Jiaxing Li', 'Yunteng Tan', 'Xinyu Liu', 'Yangyi Dong', 'Enhui Xu', 'Jincai Xu', 'Shu Xu', 'Xuelin Fu', 'Changfeng Sun', 'Haoliang Han', 'Xuchong Zhang', 'Shen Chen', 'Zhimin Sun', 'Junyi Cao', 'Taiping Yao', 'Shouhong Ding', 'Yu Wu', 'Jian Lin', 'Tianpeng Wu', 'Ye Wang', 'Yu Fu', 'Lin Feng', 'Kangkang Gao', 'Zeyu Liu', 'Yuanzhe Pang', 'Chengqi Duan', 'Huipeng Zhou', 'Yajie Wang', 'Yuhang Zhao', 'Shangbo Wu', 'Haoran Lyu', 'Zhiyu Lin', 'Yifei Gao', 'Shuang Li', 'Haonan Wang', 'Jitao Sang', 'Chen Ma', 'Junhao Zheng', 'Yijia Li', 'Chao Shen', 'Chenhao Lin', 'Zhichao Cui', 'Guoshuai Liu', 'Huafeng Shi', 'Kun Hu', 'Mengxin Zhang']","The security of artificial intelligence (AI) is an important research area
towards safe, reliable, and trustworthy AI systems. To accelerate the research
on AI security, the Artificial Intelligence Security Competition (AISC) was
organized by the Zhongguancun Laboratory, China Industrial Control Systems
Cyber Emergency Response Team, Institute for Artificial Intelligence, Tsinghua
University, and RealAI as part of the Zhongguancun International Frontier
Technology Innovation Competition (https://www.zgc-aisc.com/en). The
competition consists of three tracks, including Deepfake Security Competition,
Autonomous Driving Security Competition, and Face Recognition Security
Competition. This report will introduce the competition rules of these three
tracks and the solutions of top-ranking teams in each track.",2022-12-07T02:45:27Z,http://arxiv.org/pdf/2212.03412v1,"['cs.CR', 'cs.AI', 'cs.CV', 'cs.LG']"
2304.02924v1,The Governance of Physical Artificial Intelligence,"['Yingbo Li', 'Anamaria-Beatrice Spulber', 'Yucong Duan']","Physical artificial intelligence can prove to be one of the most important
challenges of the artificial intelligence. The governance of physical
artificial intelligence would define its responsible intelligent application in
the society.",2023-04-06T08:26:38Z,http://arxiv.org/pdf/2304.02924v1,['cs.AI']
1703.06597v1,Artificial Intelligence and Economic Theories,"['Tshilidzi Marwala', 'Evan Hurwitz']","The advent of artificial intelligence has changed many disciplines such as
engineering, social science and economics. Artificial intelligence is a
computational technique which is inspired by natural intelligence such as the
swarming of birds, the working of the brain and the pathfinding of the ants.
These techniques have impact on economic theories. This book studies the impact
of artificial intelligence on economic theories, a subject that has not been
extensively studied. The theories that are considered are: demand and supply,
asymmetrical information, pricing, rational choice, rational expectation, game
theory, efficient market hypotheses, mechanism design, prospect, bounded
rationality, portfolio theory, rational counterfactual and causality. The
benefit of this book is that it evaluates existing theories of economics and
update them based on the developments in artificial intelligence field.",2017-03-20T04:47:14Z,http://arxiv.org/pdf/1703.06597v1,['cs.AI']
2203.08890v1,The Mathematics of Artificial Intelligence,['Gitta Kutyniok'],"We currently witness the spectacular success of artificial intelligence in
both science and public life. However, the development of a rigorous
mathematical foundation is still at an early stage. In this survey article,
which is based on an invited lecture at the International Congress of
Mathematicians 2022, we will in particular focus on the current ""workhorse"" of
artificial intelligence, namely deep neural networks. We will present the main
theoretical directions along with several exemplary results and discuss key
open problems.",2022-03-16T19:04:53Z,http://arxiv.org/pdf/2203.08890v1,"['cs.LG', 'math.HO', 'stat.ML', 'Primary 68T07, Secondary 41A25, 42C15, 35C20, 65D18']"
